target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
codec,FIREFOX,*,*,*,*,3600,29.0,1.7378324799574494,31.38888888888889,29.166666666666668,31.666666666666664,28.47222222222222,26.25,27.500000000000004,29.86111111111111,27.500000000000004,30.555555555555557,27.63888888888889
codec,CHROME,*,*,*,*,3600,51.34722222222223,2.0242072827299054,54.166666666666664,48.61111111111111,48.05555555555556,50.83333333333333,54.166666666666664,51.388888888888886,49.583333333333336,52.5,51.388888888888886,52.77777777777778
codec,EDGE,*,*,*,*,2400,41.0,2.414870021807017,39.166666666666664,39.791666666666664,39.58333333333333,38.958333333333336,45.625,43.958333333333336,38.54166666666667,43.75,39.166666666666664,41.458333333333336
codec,SAFARI,*,*,*,*,1200,54.333333333333336,2.976761849915291,60.416666666666664,57.08333333333333,51.66666666666667,52.916666666666664,56.666666666666664,52.083333333333336,52.5,52.5,50.83333333333333,56.666666666666664
