target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
player,FIREFOX,*,sample.mkv,Windows10,*,300,73.83333333333334,5.05799696849784,73.33333333333333,78.33333333333333,76.66666666666667,75.0,81.66666666666667,65.0,65.0,73.33333333333333,73.33333333333333,76.66666666666667
player,CHROME,*,sample.mkv,Windows10,*,300,55.500000000000014,3.4999999999999973,51.66666666666667,58.333333333333336,51.66666666666667,51.66666666666667,56.666666666666664,53.333333333333336,56.666666666666664,63.33333333333333,56.666666666666664,55.00000000000001
player,EDGE,*,sample.mkv,Windows10,*,300,75.5,2.986078811194818,73.33333333333333,76.66666666666667,73.33333333333333,71.66666666666667,80.0,78.33333333333333,71.66666666666667,73.33333333333333,78.33333333333333,78.33333333333333
player,FIREFOX,*,sample.mp4,Windows10,*,300,66.66666666666667,6.101001739241042,75.0,58.333333333333336,55.00000000000001,63.33333333333333,70.0,70.0,63.33333333333333,71.66666666666667,71.66666666666667,68.33333333333333
player,CHROME,*,sample.mp4,Windows10,*,300,71.0,5.066228051190221,75.0,68.33333333333333,68.33333333333333,61.66666666666667,68.33333333333333,78.33333333333333,71.66666666666667,66.66666666666666,78.33333333333333,73.33333333333333
player,EDGE,*,sample.mp4,Windows10,*,300,75.66666666666666,4.229525846816509,75.0,76.66666666666667,81.66666666666667,76.66666666666667,70.0,66.66666666666666,78.33333333333333,76.66666666666667,80.0,75.0
player,CHROME,*,sample.3gp,Linux,*,300,86.5,4.374801582802226,93.33333333333333,86.66666666666667,86.66666666666667,83.33333333333334,85.0,83.33333333333334,81.66666666666667,95.0,81.66666666666667,88.33333333333333
player,EDGE,*,sample.3gp,Linux,*,300,90.5,3.4999999999999964,86.66666666666667,98.33333333333333,91.66666666666666,93.33333333333333,91.66666666666666,86.66666666666667,86.66666666666667,91.66666666666666,88.33333333333333,90.0
player,FIREFOX,*,sample.3gp,Linux,*,300,78.16666666666666,5.6494837522261,78.33333333333333,75.0,73.33333333333333,78.33333333333333,86.66666666666667,73.33333333333333,80.0,73.33333333333333,90.0,73.33333333333333
player,CHROME,*,sample.flv,Linux,*,300,92.66666666666666,1.3333333333333344,90.0,91.66666666666666,91.66666666666666,93.33333333333333,93.33333333333333,93.33333333333333,91.66666666666666,93.33333333333333,95.0,93.33333333333333
player,EDGE,*,sample.flv,Linux,*,300,90.16666666666666,4.044887033170531,81.66666666666667,88.33333333333333,95.0,90.0,91.66666666666666,86.66666666666667,88.33333333333333,90.0,95.0,95.0
player,FIREFOX,*,sample.flv,Linux,*,300,85.16666666666667,4.3748015828022275,85.0,88.33333333333333,86.66666666666667,88.33333333333333,83.33333333333334,90.0,78.33333333333333,76.66666666666667,90.0,85.0
player,CHROME,*,sample.mkv,Linux,*,300,91.83333333333333,2.5221243250702616,88.33333333333333,91.66666666666666,90.0,91.66666666666666,96.66666666666667,91.66666666666666,88.33333333333333,93.33333333333333,91.66666666666666,95.0
player,EDGE,*,sample.mkv,Linux,*,300,95.0,3.7267799624996503,91.66666666666666,90.0,98.33333333333333,95.0,88.33333333333333,100.0,95.0,95.0,98.33333333333333,98.33333333333333
player,FIREFOX,*,sample.mkv,Linux,*,300,82.16666666666666,3.419714088113867,83.33333333333334,80.0,80.0,83.33333333333334,86.66666666666667,85.0,80.0,75.0,86.66666666666667,81.66666666666667
player,CHROME,*,sample.mp4,Linux,*,300,93.49999999999999,2.522124325070261,93.33333333333333,91.66666666666666,88.33333333333333,93.33333333333333,95.0,95.0,98.33333333333333,93.33333333333333,95.0,91.66666666666666
player,EDGE,*,sample.mp4,Linux,*,300,88.33333333333334,3.1622776601683746,83.33333333333334,85.0,86.66666666666667,88.33333333333333,85.0,93.33333333333333,90.0,91.66666666666666,91.66666666666666,88.33333333333333
player,FIREFOX,*,sample.mp4,Linux,*,300,75.66666666666666,5.9254629448770615,68.33333333333333,81.66666666666667,75.0,81.66666666666667,75.0,83.33333333333334,70.0,80.0,76.66666666666667,65.0
player,CHROME,*,sample.3gp,macOS,*,300,97.49999999999999,2.608745973749756,96.66666666666667,96.66666666666667,95.0,98.33333333333333,100.0,100.0,91.66666666666666,100.0,96.66666666666667,100.0
player,FIREFOX,*,sample.3gp,macOS,*,300,86.33333333333333,4.3333333333333295,81.66666666666667,81.66666666666667,95.0,86.66666666666667,88.33333333333333,85.0,88.33333333333333,91.66666666666666,83.33333333333334,81.66666666666667
player,SAFARI,*,sample.3gp,macOS,*,300,99.5,0.7637626158259755,98.33333333333333,100.0,100.0,100.0,98.33333333333333,100.0,100.0,100.0,100.0,98.33333333333333
player,CHROME,*,sample.flv,macOS,*,300,99.5,0.7637626158259755,98.33333333333333,100.0,100.0,98.33333333333333,100.0,100.0,98.33333333333333,100.0,100.0,100.0
player,FIREFOX,*,sample.flv,macOS,*,300,85.16666666666667,4.3748015828022275,85.0,91.66666666666666,86.66666666666667,76.66666666666667,90.0,86.66666666666667,85.0,85.0,78.33333333333333,86.66666666666667
player,SAFARI,*,sample.flv,macOS,*,300,98.00000000000001,2.2110831935702664,100.0,95.0,95.0,100.0,100.0,96.66666666666667,100.0,95.0,98.33333333333333,100.0
player,CHROME,*,sample.mkv,macOS,*,300,98.66666666666666,1.4529663145135563,100.0,100.0,98.33333333333333,96.66666666666667,98.33333333333333,100.0,100.0,96.66666666666667,100.0,96.66666666666667
player,FIREFOX,*,sample.mkv,macOS,*,300,81.66666666666667,4.346134936801766,85.0,76.66666666666667,88.33333333333333,78.33333333333333,75.0,80.0,86.66666666666667,78.33333333333333,85.0,83.33333333333334
player,SAFARI,*,sample.mkv,macOS,*,300,99.83333333333334,0.5000000000000014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.33333333333333,100.0
player,CHROME,*,sample.mp4,macOS,*,300,98.83333333333334,1.067187372905475,100.0,98.33333333333333,100.0,100.0,96.66666666666667,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,100.0
player,FIREFOX,*,sample.mp4,macOS,*,300,85.0,5.773502691896256,86.66666666666667,86.66666666666667,78.33333333333333,76.66666666666667,81.66666666666667,81.66666666666667,88.33333333333333,95.0,93.33333333333333,81.66666666666667
player,SAFARI,*,sample.mp4,macOS,*,300,98.33333333333334,1.2909944487358038,96.66666666666667,98.33333333333333,98.33333333333333,100.0,98.33333333333333,98.33333333333333,100.0,96.66666666666667,100.0,96.66666666666667
browser,*,MPLAYER,sample.3gp,Windows10,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPV,sample.3gp,Windows10,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,VLC,sample.3gp,Windows10,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPLAYER,sample.flv,Windows10,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPV,sample.flv,Windows10,*,300,98.33333333333334,1.4907119849998591,96.66666666666667,98.33333333333333,98.33333333333333,100.0,98.33333333333333,95.0,100.0,98.33333333333333,98.33333333333333,100.0
browser,*,VLC,sample.flv,Windows10,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPLAYER,sample.mkv,Windows10,*,300,99.5,0.7637626158259755,100.0,100.0,100.0,98.33333333333333,98.33333333333333,100.0,100.0,100.0,100.0,98.33333333333333
browser,*,MPV,sample.mkv,Windows10,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,VLC,sample.mkv,Windows10,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPLAYER,sample.mp4,Windows10,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPV,sample.mp4,Windows10,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,VLC,sample.mp4,Windows10,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPLAYER,sample.3gp,Linux,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPV,sample.3gp,Linux,*,300,99.33333333333333,1.105541596785133,100.0,100.0,100.0,98.33333333333333,98.33333333333333,96.66666666666667,100.0,100.0,100.0,100.0
browser,*,VLC,sample.3gp,Linux,*,300,99.66666666666666,0.6666666666666686,98.33333333333333,100.0,98.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPLAYER,sample.flv,Linux,*,300,99.5,0.7637626158259755,100.0,100.0,100.0,98.33333333333333,100.0,98.33333333333333,100.0,100.0,98.33333333333333,100.0
browser,*,MPV,sample.flv,Linux,*,300,99.5,1.067187372905474,100.0,96.66666666666667,98.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,VLC,sample.flv,Linux,*,300,99.66666666666666,0.6666666666666686,100.0,100.0,100.0,100.0,100.0,100.0,98.33333333333333,98.33333333333333,100.0,100.0
browser,*,MPLAYER,sample.mkv,Linux,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPV,sample.mkv,Linux,*,300,99.16666666666667,1.707825127659932,100.0,100.0,100.0,96.66666666666667,100.0,100.0,100.0,95.0,100.0,100.0
browser,*,VLC,sample.mkv,Linux,*,300,99.5,0.7637626158259755,100.0,100.0,100.0,98.33333333333333,100.0,100.0,98.33333333333333,100.0,100.0,98.33333333333333
browser,*,MPLAYER,sample.mp4,Linux,*,300,99.0,1.1055415967851334,98.33333333333333,98.33333333333333,98.33333333333333,100.0,96.66666666666667,100.0,100.0,98.33333333333333,100.0,100.0
browser,*,MPV,sample.mp4,Linux,*,300,98.83333333333333,1.067187372905475,98.33333333333333,98.33333333333333,100.0,98.33333333333333,98.33333333333333,100.0,96.66666666666667,98.33333333333333,100.0,100.0
browser,*,VLC,sample.mp4,Linux,*,300,99.33333333333333,0.8164965809277284,98.33333333333333,100.0,98.33333333333333,100.0,100.0,100.0,98.33333333333333,98.33333333333333,100.0,100.0
browser,*,MPLAYER,sample.3gp,macOS,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPV,sample.3gp,macOS,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,VLC,sample.3gp,macOS,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPLAYER,sample.flv,macOS,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPV,sample.flv,macOS,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,VLC,sample.flv,macOS,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPLAYER,sample.mkv,macOS,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPV,sample.mkv,macOS,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,VLC,sample.mkv,macOS,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPLAYER,sample.mp4,macOS,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,MPV,sample.mp4,macOS,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
browser,*,VLC,sample.mp4,macOS,*,300,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
codec,*,MPLAYER,*,*,*,3600,41.62499999999999,2.2196599811905355,43.47222222222222,42.36111111111111,41.66666666666667,42.083333333333336,40.69444444444444,41.25,43.333333333333336,36.25,44.861111111111114,40.27777777777778
codec,*,MPV,*,*,*,3600,40.25,0.9187686338078463,40.0,40.97222222222222,41.25,40.833333333333336,39.30555555555556,39.166666666666664,40.55555555555556,38.47222222222222,40.69444444444444,41.25
codec,*,VLC,*,*,*,3600,54.36111111111111,1.9416646797001473,53.61111111111111,54.44444444444444,54.861111111111114,56.111111111111114,54.861111111111114,54.861111111111114,58.19444444444445,54.02777777777777,51.24999999999999,51.388888888888886
player,*,*,sample.3gp,*,*,2700,77.88888888888889,1.826117486758675,79.62962962962963,77.4074074074074,76.66666666666667,76.11111111111111,76.48148148148148,79.44444444444444,80.55555555555556,74.81481481481481,80.0,77.77777777777779
player,*,*,sample.flv,*,*,2700,82.75925925925927,2.3765111429614674,82.5925925925926,81.48148148148148,85.18518518518519,83.14814814814815,80.74074074074075,79.07407407407408,81.48148148148148,81.11111111111111,86.85185185185185,85.92592592592592
player,*,*,sample.mkv,*,*,2700,78.57407407407408,1.0925925925925917,78.70370370370371,77.77777777777779,80.55555555555556,78.70370370370371,79.44444444444444,77.03703703703704,76.66666666666667,78.88888888888889,78.70370370370371,79.25925925925927
player,*,*,sample.mp4,*,*,2700,80.37037037037038,1.2505142974914185,79.62962962962963,78.88888888888889,80.37037037037037,81.2962962962963,83.14814814814815,80.37037037037037,80.74074074074075,78.70370370370371,81.11111111111111,79.44444444444444
browser,*,MPLAYER,sample.3gp,*,*,900,99.22222222222221,0.6666666666666685,99.44444444444444,98.33333333333333,100.0,98.88888888888889,99.44444444444444,98.33333333333333,100.0,98.33333333333333,100.0,99.44444444444444
browser,*,MPV,sample.3gp,*,*,900,98.5,0.7049209744694198,98.33333333333333,98.88888888888889,100.0,98.88888888888889,97.22222222222221,98.33333333333333,98.33333333333333,98.88888888888889,98.33333333333333,97.77777777777777
browser,*,VLC,sample.3gp,*,*,900,98.88888888888889,0.35136418446315426,98.88888888888889,98.33333333333333,98.88888888888889,98.88888888888889,99.44444444444444,98.88888888888889,98.88888888888889,98.33333333333333,99.44444444444444,98.88888888888889
browser,*,MPLAYER,sample.flv,*,*,900,97.44444444444444,1.4098419489388339,96.11111111111111,95.0,99.44444444444444,98.88888888888889,98.33333333333333,97.22222222222221,98.33333333333333,95.55555555555556,98.33333333333333,97.22222222222221
browser,*,MPV,sample.flv,*,*,900,96.05555555555557,0.9765775461803845,97.77777777777777,97.22222222222221,96.66666666666667,96.66666666666667,95.55555555555556,96.11111111111111,95.0,95.55555555555556,95.55555555555556,94.44444444444444
browser,*,VLC,sample.flv,*,*,900,98.33333333333333,1.1385500851066217,98.33333333333333,98.88888888888889,99.44444444444444,98.88888888888889,98.88888888888889,97.77777777777777,95.55555555555556,98.88888888888889,97.22222222222221,99.44444444444444
browser,*,MPLAYER,sample.mkv,*,*,900,98.66666666666667,0.9026709338484394,98.88888888888889,100.0,98.88888888888889,99.44444444444444,99.44444444444444,98.33333333333333,98.33333333333333,96.66666666666667,97.77777777777777,98.88888888888889
browser,*,MPV,sample.mkv,*,*,900,98.94444444444446,0.6781419786518743,100.0,98.88888888888889,100.0,99.44444444444444,98.33333333333333,98.33333333333333,98.88888888888889,97.77777777777777,98.88888888888889,98.88888888888889
browser,*,VLC,sample.mkv,*,*,900,98.5,0.7474235581707638,97.22222222222221,97.77777777777777,98.88888888888889,98.33333333333333,99.44444444444444,98.33333333333333,99.44444444444444,97.77777777777777,99.44444444444444,98.33333333333333
browser,*,MPLAYER,sample.mp4,*,*,900,98.66666666666666,0.968644209675708,97.22222222222221,98.33333333333333,100.0,97.77777777777777,99.44444444444444,98.88888888888889,98.88888888888889,97.22222222222221,98.88888888888889,100.0
browser,*,MPV,sample.mp4,*,*,900,97.72222222222221,1.0957268290731106,97.22222222222221,96.66666666666667,96.66666666666667,99.44444444444444,99.44444444444444,98.33333333333333,97.77777777777777,98.33333333333333,96.11111111111111,97.22222222222221
browser,*,VLC,sample.mp4,*,*,900,98.77777777777779,0.5443310539518189,98.88888888888889,98.88888888888889,98.33333333333333,98.33333333333333,98.33333333333333,97.77777777777777,98.88888888888889,99.44444444444444,99.44444444444444,99.44444444444444
codec,*,*,*,*,*,10800,40.31944444444444,0.9592275305777976,41.85185185185185,41.01851851851852,38.98148148148148,39.9537037037037,38.842592592592595,40.324074074074076,41.43518518518518,41.06481481481482,40.0,39.72222222222222
player,*,*,*,*,*,10800,83.625,0.6699539580437516,82.68518518518519,84.02777777777779,84.76851851851852,83.51851851851852,83.93518518518519,84.07407407407408,83.61111111111111,83.42592592592592,82.31481481481482,83.88888888888889
