target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
codec,FIREFOX,MPLAYER,*,*,*,1200,30.583333333333332,2.1180441711898053,32.5,29.166666666666668,30.0,35.0,27.500000000000004,30.416666666666664,32.5,28.333333333333332,30.833333333333336,29.583333333333332
codec,FIREFOX,MPV,*,*,*,1200,26.791666666666668,2.472417283191133,27.916666666666668,30.416666666666664,23.333333333333332,25.833333333333336,26.666666666666668,25.416666666666664,24.583333333333332,30.833333333333336,28.749999999999996,24.166666666666668
codec,FIREFOX,VLC,*,*,*,1200,41.458333333333336,3.8062904805364277,42.083333333333336,40.416666666666664,47.91666666666667,35.0,35.0,41.25,44.166666666666664,44.583333333333336,42.5,41.66666666666667
codec,CHROME,MPLAYER,*,*,*,1200,55.33333333333333,2.7876214472796215,54.58333333333333,60.416666666666664,55.833333333333336,53.75,51.24999999999999,53.333333333333336,57.08333333333333,57.91666666666667,57.49999999999999,51.66666666666667
codec,CHROME,MPV,*,*,*,1200,53.083333333333336,2.5495097567963905,50.416666666666664,52.083333333333336,49.583333333333336,52.083333333333336,51.66666666666667,54.58333333333333,54.58333333333333,53.333333333333336,59.166666666666664,53.333333333333336
codec,CHROME,VLC,*,*,*,1200,62.708333333333336,4.290857528901807,62.5,63.74999999999999,61.25000000000001,69.58333333333333,66.25,69.58333333333333,60.0,58.333333333333336,58.75,57.08333333333333
codec,EDGE,MPLAYER,*,*,*,800,40.4375,2.984988484064888,40.0,45.0,43.75,40.0,44.375,41.875,36.875,36.875,37.5,38.125
codec,EDGE,MPV,*,*,*,800,41.9375,2.443901849502144,43.125,45.625,40.0,40.0,40.625,37.5,43.125,43.75,45.0,40.625
codec,EDGE,VLC,*,*,*,800,63.8125,3.0675977979520073,66.875,57.49999999999999,63.125,66.875,65.0,61.25000000000001,65.625,60.0,65.625,66.25
codec,SAFARI,MPLAYER,*,*,*,400,48.75,5.562148865321747,52.5,42.5,47.5,58.75,46.25,56.25,50.0,48.75,40.0,45.0
codec,SAFARI,MPV,*,*,*,400,56.0,5.267826876426369,51.24999999999999,52.5,48.75,60.0,52.5,58.75,55.00000000000001,65.0,52.5,63.74999999999999
codec,SAFARI,VLC,*,*,*,400,73.625,4.346334662678427,73.75,72.5,66.25,72.5,75.0,66.25,76.25,75.0,80.0,78.75
player,FIREFOX,*,sample.3gp,*,*,900,69.0,3.5728744868474496,70.55555555555556,71.11111111111111,61.111111111111114,63.888888888888886,71.11111111111111,72.22222222222221,68.33333333333333,72.77777777777777,68.33333333333333,70.55555555555556
player,CHROME,*,sample.3gp,*,*,900,77.77777777777777,2.9502040105226115,81.11111111111111,83.88888888888889,77.22222222222223,73.88888888888889,80.0,76.11111111111111,78.33333333333333,76.66666666666667,74.44444444444444,76.11111111111111
player,EDGE,*,sample.3gp,*,*,600,84.58333333333333,2.6418112473578925,85.83333333333333,90.0,85.83333333333333,84.16666666666667,80.0,84.16666666666667,85.0,80.83333333333333,85.83333333333333,84.16666666666667
player,SAFARI,*,sample.3gp,*,*,300,98.16666666666666,1.8929694486000908,100.0,98.33333333333333,100.0,95.0,100.0,98.33333333333333,98.33333333333333,100.0,96.66666666666667,95.0
player,FIREFOX,*,sample.flv,*,*,900,75.38888888888889,4.581565315559822,68.33333333333333,76.66666666666667,81.11111111111111,76.11111111111111,79.44444444444444,72.22222222222221,77.77777777777779,66.66666666666666,79.44444444444444,76.11111111111111
