target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
codec,firefox,MPLAYER,*,*,*,400,35.125,5.403991580304322,33.75,33.75,43.75,25.0,41.25,36.25,40.0,36.25,32.5,28.749999999999996
codec,firefox,MPV,*,*,*,400,29.125,4.645226044015511,35.0,26.25,25.0,25.0,33.75,22.5,27.500000000000004,37.5,28.749999999999996,30.0
codec,firefox,VLC,*,*,*,400,52.875,4.678741818053226,51.24999999999999,55.00000000000001,53.75,53.75,47.5,47.5,46.25,56.25,55.00000000000001,62.5
codec,CHROME,MPLAYER,*,*,*,1200,55.58333333333333,3.0629959915815204,51.24999999999999,59.583333333333336,54.166666666666664,56.25,57.49999999999999,54.58333333333333,51.24999999999999,58.75,59.583333333333336,52.916666666666664
codec,CHROME,MPV,*,*,*,1200,50.875,2.6183778905608306,51.24999999999999,53.333333333333336,50.0,55.00000000000001,50.83333333333333,47.5,46.25,51.66666666666667,49.166666666666664,53.75
codec,CHROME,VLC,*,*,*,1200,61.75,2.257702864024013,61.66666666666667,58.75,64.58333333333334,61.25000000000001,60.83333333333333,57.49999999999999,63.74999999999999,62.083333333333336,62.083333333333336,65.0
codec,EDGE,MPLAYER,*,*,*,800,39.9375,3.4055331814563194,36.25,43.125,36.25,41.875,40.0,40.625,41.875,40.0,45.625,33.75
codec,EDGE,MPV,*,*,*,800,41.3125,3.6276929652328627,38.75,45.0,48.125,39.375,43.125,36.875,38.125,37.5,41.25,45.0
codec,EDGE,VLC,*,*,*,800,62.875,3.225871975140986,61.25000000000001,68.125,59.375,63.74999999999999,65.625,59.375,63.125,65.0,57.49999999999999,65.625
codec,FIREFOX,MPLAYER,*,*,*,800,30.9375,3.885570260592389,28.125,32.5,26.875,35.625,25.624999999999996,35.0,36.25,28.749999999999996,33.75,26.875
codec,FIREFOX,MPV,*,*,*,800,27.9375,2.6670735366689833,26.25,32.5,27.500000000000004,28.749999999999996,27.500000000000004,30.0,24.375,30.0,23.125,29.375
codec,FIREFOX,VLC,*,*,*,800,39.6875,3.226477374785077,40.0,41.875,43.75,36.875,43.75,35.0,36.875,35.625,40.0,43.125
codec,SAFARI,MPLAYER,*,*,*,400,44.75,4.67038542306735,51.24999999999999,46.25,40.0,42.5,37.5,40.0,48.75,42.5,51.24999999999999,47.5
codec,SAFARI,MPV,*,*,*,400,51.375,5.374999999999999,43.75,57.49999999999999,50.0,45.0,56.25,43.75,58.75,51.24999999999999,55.00000000000001,52.5
